SimulationID,XStripID1,XStripID2,XStripID3,YStripID1,YStripID2,XStripEnergy1,XStripEnergy2,XStripEnergy3,YStripEnergy1,YStripEnergy2,ResultPositionX,ResultPositionY,ResultPositionZ,ResultDirectionX,ResultDirectionY,ResultDirectionZ
161429.0,51.0,52.0,53.0,41.0,42.0,1375.9587,898.50916,2055.9597,3792.4773,537.9502,2.2208,1.19822,-0.49059,0.13029,-0.97098,0.20055
161496.0,39.0,40.0,41.0,35.0,36.0,576.6034,2545.2034,615.94696,671.72,3066.0337,0.96272,0.46342,0.16388,0.69443,0.02064,0.71927
161542.0,27.0,28.0,29.0,4.0,5.0,1398.5426,1728.0219,641.9795,3396.5093,372.03476,-0.25401,-3.1146,0.30279,-0.89122,0.13952,-0.43159
161546.0,15.0,16.0,17.0,29.0,30.0,2210.3628,1950.2689,613.9093,1719.6188,3054.9224,-1.67035,-0.18801,-0.30682,-0.7353,-0.50704,0.44972
161801.0,2.0,3.0,4.0,27.0,28.0,238.77383,2663.16,1353.101,1210.5172,3044.5176,-3.16943,-0.374,0.24929,-0.23888,0.49075,0.83792
161879.0,44.0,45.0,46.0,52.0,53.0,1712.998,2085.973,482.47864,801.1204,3480.329,1.6514,2.40492,0.46404,-0.72456,0.29531,-0.62274
161986.0,24.0,25.0,26.0,0.0,1.0,238.08238,2419.8281,805.99457,1506.0221,1957.883,-0.8516,-3.66037,0.25674,0.97861,0.2022,-0.03799
161993.0,35.0,36.0,37.0,7.0,8.0,55.94719,1054.6454,1636.8064,1400.851,1346.548,0.45294,-2.83695,-0.20342,0.49211,0.27259,0.82676
161994.0,15.0,16.0,17.0,27.0,28.0,114.16677,882.17847,2069.9883,445.47446,2620.8591,-1.86242,-0.43248,-0.57743,0.77863,0.48713,-0.39552
162030.0,44.0,45.0,46.0,23.0,24.0,597.9228,1047.6494,358.05136,833.5926,1168.7756,1.64031,-0.803,0.72513,-0.75445,-0.62412,-0.20318
162036.0,24.0,25.0,26.0,54.0,55.0,628.9599,917.8188,1143.8834,2607.7478,82.9143,-0.85885,2.64075,0.303,0.94867,-0.2959,0.11168
162071.0,50.0,51.0,52.0,45.0,46.0,859.6965,2260.2986,1360.1877,886.99176,3593.191,2.16882,1.65156,0.21081,0.27195,0.1546,0.94981
162214.0,61.0,62.0,63.0,17.0,18.0,2022.9036,1386.596,872.18085,1104.2286,3176.0493,3.67623,-1.49504,0.56255,-0.86305,-0.32673,-0.38521
162336.0,57.0,58.0,59.0,44.0,45.0,3175.305,987.1791,1009.56647,3175.305,1996.7456,2.93037,1.4786,0.33565,0.56904,-0.14238,-0.80989
162337.0,23.0,24.0,25.0,28.0,29.0,1061.8822,2792.5925,68.61237,2271.169,1652.0475,-1.04632,-0.41997,0.01344,0.71759,-0.24737,-0.65105
162347.0,30.0,31.0,32.0,48.0,49.0,759.1554,2430.6836,284.71277,284.71277,3189.839,-0.06324,2.06234,0.63182,0.1838,-0.70692,-0.683
162397.0,31.0,32.0,33.0,23.0,24.0,238.34467,1685.5923,1403.8944,2030.6028,1297.2286,-0.01091,-0.86188,-0.34427,0.37939,-0.0859,-0.92124
162457.0,26.0,27.0,28.0,7.0,8.0,4321.275,1011.2606,502.975,1032.0743,4803.436,-0.431,-2.82887,-0.03189,-0.35366,0.72927,-0.58574
162501.0,19.0,20.0,21.0,61.0,62.0,1181.5154,1107.858,514.2395,1895.47,908.1429,-1.18776,3.40472,0.03826,-0.87985,0.28489,0.38039
162530.0,53.0,54.0,55.0,61.0,62.0,1000.4152,935.3318,1209.1566,3094.6875,50.21603,2.67246,3.47826,0.60751,0.31135,-0.55181,-0.77367
162547.0,0.0,1.0,2.0,16.0,17.0,550.1591,1458.3625,4474.517,2187.7097,4295.329,-3.93924,-1.80996,-0.00585,0.63992,0.43617,0.63266
162566.0,9.0,10.0,11.0,22.0,23.0,770.4941,1831.2788,3147.5034,3975.775,1773.5013,-2.65318,-1.06424,0.23513,0.8639,-0.36476,0.34732
162643.0,30.0,31.0,32.0,39.0,40.0,509.02014,4066.18,9.85898,1607.2323,2977.8267,0.06252,0.9172,-0.0601,-0.91782,-0.15629,0.36493
162653.0,60.0,61.0,62.0,44.0,45.0,832.9555,2563.3435,789.94934,549.53656,3636.712,3.50569,1.6006,-0.69488,-0.24174,-0.68484,0.68743
162665.0,33.0,34.0,35.0,10.0,11.0,676.3112,2515.386,931.23566,1259.4019,2863.569,0.46716,-2.37971,0.33882,-0.85902,0.34863,-0.37489
162703.0,29.0,30.0,31.0,61.0,62.0,2013.5029,2719.0366,755.8556,4366.5195,1121.8755,-0.02151,3.45193,0.29948,-0.63004,0.54204,-0.5561
162711.0,28.0,29.0,30.0,0.0,1.0,63.72736,1377.8778,404.0447,809.0214,1036.6284,-0.1773,-3.51849,0.1845,-0.80667,-0.00603,0.59098
162861.0,43.0,44.0,45.0,6.0,7.0,272.74542,2249.8784,314.8715,1164.5663,1672.9291,1.51045,-2.93909,-0.43401,0.06297,0.32726,-0.94283
162883.0,8.0,9.0,10.0,20.0,21.0,9.99085,2224.7646,2523.0327,3127.441,1630.3473,-2.67265,-1.34989,0.28419,0.77507,0.0782,-0.62702
162948.0,53.0,54.0,55.0,55.0,56.0,684.3134,779.21313,72.46346,955.16034,580.8297,2.55228,2.71831,-0.68252,-0.9546,0.24953,0.1627
162953.0,43.0,44.0,45.0,43.0,44.0,147.02977,2810.8333,381.41324,2583.977,755.2993,1.54116,1.43399,-0.25494,-0.87649,0.02131,0.48096
162955.0,18.0,19.0,20.0,51.0,52.0,1280.624,3148.9453,3146.051,4658.127,2918.7488,-1.62536,2.32128,-0.63869,0.25947,-0.12136,0.95809
163001.0,18.0,19.0,20.0,3.0,4.0,1667.927,1829.6149,554.2739,3389.6953,662.1204,-1.34606,-3.20812,0.0439,-0.66645,-0.19007,-0.72091
163012.0,46.0,47.0,48.0,16.0,17.0,89.82455,1939.0597,1574.1736,1906.6609,1696.3969,1.7777,-1.75841,0.03609,0.21731,0.97609,-0.00489
163050.0,5.0,6.0,7.0,48.0,49.0,2122.8618,951.37305,397.30707,2892.734,578.80786,-3.11596,1.89848,0.59154,0.1264,0.41811,0.89956
163159.0,12.0,13.0,14.0,7.0,8.0,399.08463,2633.941,108.86849,1534.936,1606.958,-2.07596,-2.84446,-0.23573,-0.80227,0.51994,-0.29329
163290.0,47.0,48.0,49.0,59.0,60.0,63.04103,1590.4363,100.28152,1653.4773,100.28152,1.93191,3.16019,0.17266,-0.33094,0.94281,0.03974
163342.0,42.0,43.0,44.0,9.0,10.0,400.50415,2550.9397,1125.7124,623.6235,3453.5327,1.46355,-2.59231,-0.06729,-0.61734,0.66073,0.42701
163357.0,48.0,49.0,50.0,41.0,42.0,217.74193,2100.072,487.10864,2281.7124,523.21027,2.1628,1.22099,-0.64955,-0.2981,-0.95109,0.08099
163634.0,2.0,3.0,4.0,49.0,50.0,15.02932,839.69714,106.05606,945.75323,15.02932,-3.29463,2.07696,-0.64361,0.40958,0.19172,-0.8919
163640.0,1.0,2.0,3.0,9.0,10.0,1860.8402,1813.6146,57.4213,1634.4805,2097.3958,-3.51992,-2.61816,0.59557,0.31154,0.69033,-0.65298
163964.0,19.0,20.0,21.0,56.0,57.0,401.25888,3508.7349,1502.8066,373.23715,5039.563,-1.3803,2.87984,-0.12478,0.81665,0.5313,0.22541
163983.0,9.0,10.0,11.0,55.0,56.0,825.6761,643.1952,1600.6077,1259.7596,1809.7576,-2.27478,2.74698,-0.56985,-0.97726,-0.14119,0.15821
163996.0,30.0,31.0,32.0,62.0,63.0,1247.0977,2668.1814,1925.9272,4324.2607,1516.9453,0.02886,3.68312,-0.26182,0.49053,-0.31527,0.81239
164019.0,43.0,44.0,45.0,45.0,46.0,770.7018,848.39386,1562.2218,3011.7537,169.56377,1.3525,1.6266,-0.49961,0.68304,-0.13966,0.7169
164023.0,8.0,9.0,10.0,40.0,41.0,1938.4894,187.23975,116.69208,2027.2335,215.18768,-2.65055,0.95586,-0.72432,-0.70741,0.53977,-0.45631
164190.0,5.0,6.0,7.0,13.0,14.0,866.53937,3030.1895,486.68875,333.2728,4050.1448,-3.0836,-2.12139,-0.64049,-0.06548,0.51727,0.85331
164205.0,31.0,32.0,33.0,5.0,6.0,1029.1542,1863.6782,961.26196,1837.2343,2016.8601,-0.02397,-3.0892,0.2878,0.17545,0.36533,-0.91419
164209.0,15.0,16.0,17.0,30.0,31.0,580.9203,943.93066,1020.0707,1047.4023,1496.2639,-1.8828,-0.2343,0.6064,0.20295,0.97788,0.0506
164286.0,24.0,25.0,26.0,56.0,57.0,157.91878,1703.5243,1057.9086,344.03833,2575.3132,-0.83703,2.87268,0.7104,0.89219,0.40822,0.19325
164394.0,0.0,1.0,2.0,48.0,49.0,97.10122,5261.3975,640.3385,2000.2681,3998.5693,-3.36857,1.94123,0.53293,-0.95372,0.27751,-0.11575
164420.0,39.0,40.0,41.0,48.0,49.0,131.21182,121.76441,1499.9,1621.6644,131.21182,1.05477,1.89915,-0.42971,0.53049,0.77174,0.35072
164528.0,24.0,25.0,26.0,29.0,30.0,1981.5707,2035.6216,468.5259,2213.6843,2272.0337,-0.66039,-0.20388,0.25237,-0.43361,-0.03445,-0.90044
164585.0,46.0,47.0,48.0,25.0,26.0,438.79184,1846.4479,1718.4424,3267.4592,736.223,1.9196,-0.59677,0.44455,0.21455,-0.94272,0.25544
164650.0,56.0,57.0,58.0,49.0,50.0,1661.0859,1553.7994,421.57355,2942.7024,693.71826,3.06702,1.95104,-0.0811,-0.28418,0.85167,0.44034
164896.0,18.0,19.0,20.0,58.0,59.0,1698.496,1215.2407,431.92966,2633.2363,712.4299,-1.36006,3.18933,-0.56531,0.04741,-0.60108,-0.79778
164900.0,53.0,54.0,55.0,6.0,7.0,1360.1866,2870.331,563.59686,864.18207,3929.9324,2.52255,-2.97812,0.22,0.01978,0.7096,0.70432
165000.0,2.0,3.0,4.0,17.0,18.0,285.77466,1620.2759,311.73917,728.06036,1489.7294,-3.26979,-1.63638,-0.2382,-0.14198,-0.01359,-0.98978
165064.0,27.0,28.0,29.0,5.0,6.0,48.95571,1547.9113,6.71163,1547.9113,48.95571,-0.35675,-3.08952,0.00882,-0.21543,0.76389,0.60833
165081.0,0.0,1.0,2.0,4.0,5.0,1355.0088,2446.3027,1195.0765,3571.381,1425.0068,-3.41454,-3.08537,0.23238,0.40735,-0.50178,0.76308
165086.0,11.0,12.0,13.0,55.0,56.0,1122.8578,1334.8113,1260.9752,1992.6726,1725.9717,-2.13768,2.6645,0.08573,-0.30493,0.5079,0.80564
